      1 5	l'	org product geoloc person O
      1 1	marginalisation	O
      1 1	marges	O
      1 1	mare	O
      1 1	marées	O
      1 1	Maréchal	person
      1 1	mardi	O
      1 1	Marc	person
      1 1	marchés	O
      1 1	marcher	O
      1 1	marché	O
      1 1	marchent	O
      1 1	marchandises	O
      1 1	marchande	O
      1 1	Marcel	person
      1 1	Maquet	person
      1 1	ma	O
      1 1	Manzano	person
      1 1	manuels	O
      1 1	Manuel	person
      1 1	manqué	O
      1 1	manque	O
      1 1	manque_d'	O
      1 1	manque_de	O
      1 1	manquait	O
      1 1	manipulé	O
      1 1	manifester	O
      1 1	manifesté	O
      1 1	manifeste	O
      1 1	manifestent	O
      1 1	manifestement	O
      1 1	manifestations	O
      1 1	manifestation	O
      1 1	manifestants	O
      1 1	manières	O
      1 1	manière	O
      1 1	manger	O
      1 1	mange	O
      1 1	Mandela	person
      1 1	mandats	O
      1 1	mandat	O
      1 1	manches	O
      1 1	manche	O
      1 1	management	O
      1 1	Mamounata	person
      1 1	maman	O
      1 1	Mamadou	person
      1 1	Malte	geoloc
      1 1	mal	O
      1 1	Mali	geoloc
      1 1	malheureux	O
      1 1	malheureusement	O
      1 1	malgré_tout	O
      1 1	malgré	O
      1 1	malgache	O
      1 1	malformation	O
      1 1	malfaiteurs	O
      1 1	Malek	person
      1 1	Malbrunot	person
      1 1	malaise	O
      1 1	maladies	O
      1 1	maladie	O
      1 1	malades	O
      1 1	malade	O
      1 1	major	O
      1 1	majorité	O
      1 1	majoritairement	O
      1 1	majeurs	O
      1 1	majeure	O
      1 1	maîtriser	O
      1 1	maîtrise	O
      1 1	maîtres	O
      1 1	maître	O
      1 1	Maïté	person
      1 1	mais_si	O
      1 1	maisons	O
      1 1	mais	O
      1 1	mairies	O
      1 1	maires	O
      1 1	maire	O
      1 1	mai	O
      1 1	maintient	O
      1 1	maintien	O
      1 1	maintiennent	O
      1 1	maintiendra	O
      1 1	maintenir	O
      1 1	maintenant_que	O
      1 1	maintenant	O
      1 1	mains	O
      1 1	main	O
      1 1	Maine_et_Loire	geoloc
      1 1	maillot	O
      1 1	maillon	O
      1 1	Mahmoud	person
      1 1	Maha	person
      1 1	Magnus	person
      1 1	Magnum	org
      1 1	magnifique	O
      1 1	magique	O
      1 1	maghrébines	O
      1 1	Ma	geoloc
      1 1	magasin	O
      1 1	Mafia	O
      1 1	Madonna	person
      1 1	Mademoiselle	O
      1 1	madame	O
      1 1	machines	O
      1 1	machine	O
      1 1	Macédoine	geoloc
      1 1	Maastricht	org
      1 1	lyrique	O
      1 1	Lyons	person
      1 1	lycée	O
      1 1	Luynes	geoloc
      1 1	luxe	O
      1 1	lutter	O
      1 1	lutte	O
      1 1	luttent	O
      1 1	lus	O
      1 1	Lurie	person
      1 1	l'un	O
      1 1	lune	O
      1 1	l'une	O
      1 1	lundi	O
      1 1	lumineux	O
      1 1	lumière	O
      1 1	Lukia	person
      1 1	Luis	person
      1 1	lui	O
      1 1	lui_même	O
      1 1	Luc	person
      1 1	L'Outremangeur	product
      1 1	lourds	O
      1 1	lourd	O
      1 1	lourdes	O
      1 1	Louis	person
      1 1	Loué	geoloc
      1 1	Loubna	person
      1 1	Los_Angeles	geoloc
      1 1	lorsqu'	O
      1 1	lorsque	O
      1 1	lors	O
      1 1	lors_du	O
      1 1	lors_d'	O
      1 1	lors_des	O
      1 1	lors_de	O
      1 1	Lorraine	geoloc
      1 1	lord	O
      1 1	Loos	person
      1 1	l'on	O
      1 1	Longuépé	person
      1 1	longue	O
      1 1	longuement	O
      1 1	longtemps	O
      1 1	longs	O
      1 1	Longo	person
      1 1	long	O
      1 1	Lomé	geoloc
      1 1	lois	O
      1 1	Loire	geoloc
      1 1	lointaine	O
      1 1	loin	O
      1 1	loin_d'	O
      1 1	loin_de	O
      1 1	logique	O
      1 1	logiciels	O
      1 1	logement	O
      1 1	logée	O
      1 1	locaux	O
      1 1	local	O
      1 1	localités	O
      1 1	locales	O
      1 1	locale	O
      1 1	localement	O
      1 1	lobbying	O
      1 1	l	O
      1 1	Livry_Gargan	geoloc
      1 1	livrés	O
      1 1	livres	O
      1 1	livrer	O
      1 1	livré	O
      1 1	livre	O
      1 1	livrées	O
      1 1	livraisons	O
      1 1	Livingston	person
      1 1	Livingstone	person
      1 1	Live	product
      1 1	littoral	O
      1 1	littérature	O
      1 1	lit	O
      1 1	listes	O
      1 1	liste	O
      1 1	lis	O
      1 1	lire	O
      1 1	liquidations	O
      1 1	Lion	geoloc
      1 1	Lionel	person
      1 1	limites	O
      1 1	limiter	O
      1 1	limite	O
      1 1	limitées	O
      1 1	limitée	O
      1 1	LIMA	O
      1 1	lignes	O
      1 1	lieux	O
      1 1	lieutenants	O
      1 1	lieu	O
      1 1	liés	O
      1 1	lié	O
      1 1	lient	O
      1 1	liens	O
      1 1	lien	O
      1 1	liées	O
      1 1	liée	O
      1 1	Licorne	O
      1 1	licencier	O
      1 1	licencié	O
      1 1	licenciement	O
      1 1	libre_échange	O
      1 1	libertés	O
      1 1	libériens	O
      1 1	libérien	O
      1 1	libériennes	O
      1 1	libérienne	O
      1 1	Libéria	geoloc
      1 1	libérés	O
      1 1	libérer	O
      1 1	libéré	O
      1 1	libèrent	O
      1 1	Libération	org
      1 1	libéralisation	O
      1 1	Libé	org
      1 1	Liban_Sud	geoloc
      1 1	Libanais	O
      1 1	libanais	O
      1 1	libanaise	O
      1 1	liaisons	O
      1 1	liaison	O
      1 1	Lev	person
      1 1	lever	O
      1 1	levé	O
      1 1	levées	O
      1 1	levée	O
      1 1	leurs	O
      1 1	leur	O
      1 1	lettres	O
      1 1	lettre	O
      1 1	les_uns	O
      1 1	lesquels	O
      1 1	lesquelles	O
      1 1	les_leurs	O
      1 1	Lescure	person
      1 1	les_autres	O
      1 1	L'Équipe	org
      1 1	lequel	O
      1 1	le_plus_souvent	O
      1 1	lepénistes	O
      1 1	Le_Parisien	org
      1 1	Leone	geoloc
      1 1	léonais	O
      1 1	leonais	O
      1 1	lent	O
      1 1	lente	O
      1 1	lentement	O
      1 1	lendemain	O
      1 1	Lemonnier	person
      1 1	Lemerre	person
      1 1	Lemarque	person
      1 1	Lemaresquier	person
      1 1	Le_Marc	person
      1 1	Lellouche	person
      1 1	le_leur	O
      1 1	Leica	O
      1 1	légumes	O
      1 1	légitimité	O
      1 1	légitimer	O
      1 1	légitime	O
      1 1	législatives	O
      1 1	législative	O
      1 1	légiférer	O
      1 1	légers	O
      1 1	léger	O
      1 1	légère	O
      1 1	légèrement	O
      1 1	légende	O
      1 1	légal	O
      1 1	légales	O
      1 1	légale	O
      1 1	Le_Figaro	org
      1 1	Lefebvre	O
      1 1	lecture	O
      1 1	lecteurs	O
      1 1	lecteur	O
      1 1	leçons	O
      1 1	leçon	O
      1 1	Lech	person
      1 1	Lebaupin	person
      1 1	leaders	O
      1 1	leader	O
      1 1	laxisme	O
      1 1	Lauro	product
      1 1	Lauriol	person
      1 1	Laurent	person
      1 1	Latsis	person
      1 1	laser	O
      1 1	Lariboisière	geoloc
      1 1	large	O
      1 1	largement	O
      1 1	L'Archipel	org
      1 1	Larache	geoloc
      1 1	laquelle	O
      1 1	lapsus	O
      1 1	la_plupart	O
      1 1	là_où	O
      1 1	Laoufi	person
      1 1	Laos	geoloc
      1 1	là	O
      1 1	langues	O
      1 1	langue	O
      1 1	Languedoc_Roussillon	geoloc
      1 1	Lang	person
      1 1	langage	O
      1 1	Lançon	person
      1 1	lancés	O
      1 1	lancer	O
      1 1	Lance	person
      1 1	lancé	O
      1 1	lance	O
      1 1	lancent	O
      1 1	lancement	O
      1 1	lancées	O
      1 1	lancée	O
      1 1	lançant	O
      1 1	Lamy	person
      1 1	Lamine	person
      1 1	lama	O
      1 1	Lalonde	person
      1 1	Lalla	person
      1 1	Lakhsem	person
      1 1	lait	O
      1 1	laissons	O
      1 1	laisseront	O
      1 1	laisser	O
      1 1	laissera	O
      1 1	laissé	O
      1 1	laisse	O
      1 1	laïcité	O
      1 1	Lahcen	person
      1 1	Lagarde	person
      1 1	là_dessus	O
      1 1	là_dedans	O
      1 1	La_Croix	org
      1 1	laboratoires	O
      1 1	là_bas	O
      1 1	Kurdistan	geoloc
      1 1	Kurdes	O
      1 1	kurdes	O
      1 1	Kupferman	person
      1 1	Kumanovo	geoloc
      1 1	Kuerten	person
      1 1	Kudelka	person
      1 1	Koulibaly	person
      1 1	Kouchner	person
      1 1	Kosovo	geoloc
      1 1	Kosovars	O
      1 1	Kofi_Annan	person
      1 1	Knesset	org
      1 1	Kim	person
      1 1	kilo	O
      1 1	kilomètres	O
      1 1	Khouribga	org
      1 1	Khemissat	org
      1 1	Khan	geoloc
      1 1	Khalife	person
      1 1	Khaled	person
      1 1	KFOR	org
      1 1	Kettani	person
      1 1	Kerry	person
      1 1	Kerbala	geoloc
      1 1	Ken	person
      1 1	Kemal	person
      1 1	Kawkab	org
      1 1	Katou	person
      1 1	Katharine	person
      1 1	Karin	person
      1 1	kamikaze	O
      1 1	kakis	O
      1 1	Kagame	person
      1 1	Kafelnikof	person
      1 1	Kadege	person
      1 1	Kaddafi	person
      1 1	Kaboul	geoloc
      1 1	Kabila	person
      1 1	Kabbah	person
      1 1	Justine	person
      1 1	justifier	O
      1 1	justifié	O
      1 1	Justice	O
      1 1	juste	O
      1 1	juste_milieu	O
      1 1	justement	O
      1 1	jusqu'	O
      1 1	jusqu'ici	O
      1 1	jusque_là	O
      1 1	jusqu'au	O
      1 1	jusqu'à_présent	O
      1 1	jusqu'à	O
      1 1	jusqu'à_l'	O
      1 1	jusqu'à_la	O
      1 1	jusqu'à_ce_que	O
      1 1	juridiques	O
      1 1	juridique	O
      1 1	jure	O
      1 1	Jura	geoloc
      1 1	Juppé	person
      1 1	Junior	person
      1 1	junior	O
      1 1	jung	person
      1 1	Julia	person
      1 1	juive	O
      1 1	juin	O
      1 1	juillet	O
      1 1	juifs	O
      1 1	juif	O
      1 1	juges	O
      1 1	juger	O
      1 1	jugera	O
      1 1	jugé	O
      1 1	jugent	O
      1 1	jugement	O
      1 1	judiciaire	O
      1 1	Juan	person
      1 1	Jovan	person
      1 1	Jousset	person
      1 1	jours	O
      1 1	jour	O
      1 1	journées	O
      1 1	journée	O
      1 1	journaux	O
      1 1	journalistes	O
      1 1	journaliste	O
      1 1	journalisme	O
      1 1	joueurs	O
      1 1	joueur	O
      1 1	jouer	O
      1 1	joué	O
      1 1	joue	O
      1 1	jouent	O
      1 1	jouant	O
      1 1	jouaient	O
      1 1	Josse	person
      1 1	Jospin	person
      1 1	Josiane	person
      1 1	Joseph	person
      1 1	José	person
      1 1	jordanien	O
      1 1	JO	O
      1 1	Jones	O
      1 1	joli	O
      1 1	joint	O
      1 1	joie	O
      1 1	Johnny	person
      1 1	Joey	O
      1 1	Joël	person
      1 1	J	O
      1 1	j'	O
      1 1	j	O
      1 1	Jihad	org
      1 1	Jihadia	org
      1 1	Jiang	person
      1 1	jeux	O
      1 1	jeu	O
      1 1	Jeunesse	org
      1 1	jeunes	O
      1 1	jeune	O
      1 1	jeudi	O
      1 1	Jettou	person
      1 1	jette	O
      1 1	jet	O
      1 1	jeté	O
      1 1	jetée	O
      1 1	jeeps	O
      1 1	Jean_Yves	person
      1 1	Jean_Pierre	person
      1 1	Jean	person
      1 1	Jeannie	person
      1 1	Jeanne	person
      1 1	Jean_Michel	person
      1 1	Jean_Luc	person
      1 1	Jean_Jack	person
      1 1	Jean_François	person
      1 1	Jean_Dominique	person
      1 1	jaune	O
      1 1	jardin	O
      1 1	japonais	O
      1 1	japonaises	O
      1 1	japonaise	O
      1 1	Jany	person
      1 1	janvier	O
      1 1	Jane	person
      1 1	James	person
      1 1	jamais	O
      1 1	Jamaïque	org
      1 1	Jaillard	person
      1 1	Jadida	geoloc
      1 1	Jacques_Chirac	person
      1 1	Jack	person
      1 1	Izard	person
      1 1	ivoiriens	O
      1 1	ivoirien	O
      1 1	ivoirienne	O
      1 1	Ittihad	org
      1 1	Ittihade	org
      1 1	Ittifak	org
      1 1	Italiens	O
      1 1	italiens	O
      1 1	Italien	O
      1 1	italiennes	O
      1 1	italienne	O
      1 1	Itaï	person
      1 1	Istanbul	geoloc
      1 1	issus	O
      1 1	issu	O
      1 1	issue	O
      1 1	Issoire	geoloc
      1 1	israélo	O
      1 1	Israéliens	O
      1 1	israéliens	O
      1 1	israéliennes	O
      1 1	israélienne	O
      1 1	islam	O
      1 1	islamistes	O
      1 1	islamiste	O
      1 1	islamisme	O
      1 1	islamiques	O
      1 1	irrégulières	O
      1 1	irrégularités	O
      1 1	iront	O
      1 1	irons	O
      1 1	irlandais	O
      1 1	irlandaise	O
      1 1	Irène	person
      1 1	ira	O
      1 1	Irakiens	O
      1 1	irakiens	O
      1 1	Irakien	O
      1 1	irakiennes	O
      1 1	irakienne	O
      1 1	Iouchenkov	person
      1 1	ions	O
      1 1	i	O
      1 1	invités	O
      1 1	inviter	O
      1 1	invité	O
      1 1	invite	O
      1 1	invitée	O
      1 1	invitation	O
      1 1	investiture	O
      1 1	investisseurs	O
      1 1	investissement	O
      1 1	Investir	org
      1 1	investi	O
      1 1	investigations	O
      1 1	inverse	O
      1 1	inversement	O
      1 1	invention	O
      1 1	invente	O
      1 1	Invalides	geoloc
      1 1	invalide	O
      1 1	inutile	O
      1 1	introduit	O
      1 1	introduites	O
      1 1	intra_muros	O
      1 1	intoxiquées	O
      1 1	intitulé	O
      1 1	intitule	O
      1 1	intitulée	O
      1 1	intimes	O
      1 1	Intifada	O
      1 1	interviews	O
      1 1	interview	O
      1 1	intervient	O
      1 1	interviennent	O
      1 1	intervenus	O
      1 1	intervenu	O
      1 1	intervenue	O
      1 1	intervention	O
      1 1	intervenir	O
      1 1	intervenants	O
      1 1	intervenant	O
      1 1	intervenait	O
      1 1	interrompue	O
      1 1	interrompre	O
      1 1	interroger	O
      1 1	interrogé	O
      1 1	interroge	O
      1 1	interrogent	O
      1 1	interrogations	O
      1 1	interrogation	O
      1 1	interprétation	O
      1 1	interposition	O
      1 1	interpellés	O
      1 1	interpellé	O
      1 1	interpelle	O
      1 1	interpellation	O
      1 1	inter	O
      1 1	Internet	O
      1 1	internet	O
      1 1	interne	O
      1 1	internationaux	O
      1 1	International	org
      1 1	Internationale	org
      1 1	interlocuteurs	O
      1 1	interlocuteur	O
      1 1	interivoiriens	O
      1 1	intérim	O
      1 1	intérimaire	O
      1 1	intérieures	O
      1 1	intérieure	O
      1 1	intérêts	O
      1 1	intérêt	O
      1 1	intéresser	O
      1 1	intéressé	O
      1 1	intéresse	O
      1 1	intéressent	O
      1 1	intéressées	O
      1 1	intéressant	O
      1 1	interdits	O
      1 1	interdit	O
      1 1	interdite	O
      1 1	interdire	O
      1 1	interdiction	O
      1 1	intentions	O
      1 1	intention	O
      1 1	intensité	O
      1 1	intensifier	O
      1 1	intensification	O
      1 1	intenses	O
      1 1	intense	O
      1 1	Intel	org
      1 1	intellectuelle	O
      1 1	intégrité	O
      1 1	intégrer	O
      1 1	intégrée	O
      1 1	intégration	O
      1 1	intégral	O
      1 1	intégralité	O
      1 1	insuffisant	O
      1 1	instruments	O
      1 1	instrument	O
      1 1	instruire	O
      1 1	instruction	O
      1 1	instituts	O
      1 1	Institut	org
      1 1	institution	O
      1 1	institutionnel	O
      1 1	institutionnaliser	O
      1 1	instauration	O
      1 1	instants	O
      1 1	instant	O
      1 1	instances	O
      1 1	installer	O
      1 1	installé	O
      1 1	installe	O
      1 1	installée	O
      1 1	installations	O
      1 1	installation	O
      1 1	instables	O
      1 1	instable	O
      1 1	inspirer	O
      1 1	inspiré	O
      1 1	inspire	O
      1 1	inspiration	O
      1 1	inspection	O
      1 1	inspecteurs	O
      1 1	insisté	O
      1 1	insiste	O
      1 1	insertion	O
      1 1	insensé	O
      1 1	Insee	org
      1 1	insécurité	O
      1 1	inscrit	O
      1 1	inscrite	O
      1 1	inscrire	O
      1 1	inquiétude	O
      1 1	inquiets	O
      1 1	inquiet	O
      1 1	inquiète	O
      1 1	inquiété	O
      1 1	inquiètent	O
      1 1	inquiétant	O
      1 1	inondations	O
      1 1	in	O
      1 1	innovations	O
      1 1	innovation	O
      1 1	inlassablement	O
      1 1	injustice	O
      1 1	initiatives	O
      1 1	initiative	O
      1 1	initiateur	O
      1 1	inhumaine	O
      1 1	inhospitalier	O
      1 1	inhalation	O
      1 1	ingénieur	O
      1 1	infrastructures	O
      1 1	infrastructure	O
      1 1	informés	O
      1 1	informer	O
      1 1	informé	O
      1 1	informations	O
      1 1	information	O
      1 1	Info	org
      1 1	influences	O
      1 1	influencer	O
      1 1	influence	O
      1 1	infligée	O
      1 1	inflation	O
      1 1	infirmière	O
      1 1	infirmes	O
      1 1	infiltrer	O
      1 1	inférieur	O
      1 1	infections	O
      1 1	infection	O
      1 1	infectées	O
      1 1	inévitable	O
      1 1	inévitablement	O
      1 1	inefficaces	O
      1 1	Industries	org
      1 1	industrie	O
      1 1	industriels	O
      1 1	industriel	O
      1 1	industrielle	O
      1 1	indonésien	O
      1 1	individus	O
      1 1	individu	O
      1 1	individuel	O
      1 1	indispensables	O
      1 1	indispensable	O
      1 1	indirecte	O
      1 1	indirectement	O
      1 1	indiqué	O
      1 1	indique	O
      1 1	indiquent	O
      1 1	indiquant	O
      1 1	indigne	O
      1 1	indifférent	O
      1 1	indifférence	O
      1 1	indiens	O
      1 1	indice	O
      1 1	indépendant	O
      1 1	indépendante	O
      1 1	indépendance	O
      1 1	indemniser	O
      1 1	indemnisation	O
      1 1	incursions	O
      1 1	incursion	O
      1 1	incroyable	O
      1 1	inconnu	O
      1 1	inconnue	O
      1 1	incompétence	O
      1 1	inclinée	O
      1 1	incite	O
      1 1	incidents	O
      1 1	incident	O
      1 1	inchangé	O
      1 1	incertitudes	O
      1 1	incendies	O
      1 1	incendie	O
      1 1	incarne	O
      1 1	incapable	O
      1 1	inauguré	O
      1 1	inauguration	O
      1 1	inaugurale	O
      1 1	inattendue	O
      1 1	inaliénables	O
      1 1	inadmissible	O
      1 1	inacceptable	O
      1 1	improbable	O
      1 1	imprimantes	O
      1 1	impression	O
      1 1	impôts	O
      1 1	impôt	O
      1 1	imposer	O
      1 1	imposé	O
      1 1	impose	O
      1 1	imposant	O
      1 1	importe	O
      1 1	importations	O
      1 1	importants	O
      1 1	important	O
      1 1	importantes	O
      1 1	importante	O
      1 1	importance	O
      1 1	impopulaire	O
      1 1	implosion	O
      1 1	implose	O
      1 1	impliqués	O
      1 1	impliquer	O
      1 1	implique	O
      1 1	impliquées	O
      1 1	implication	O
      1 1	implantations	O
      1 1	impensable	O
      1 1	impasse	O
      1 1	impact	O
      1 1	immunité	O
      1 1	immobilisé	O
      1 1	Immobilier	org
      1 1	immigrés	O
      1 1	immigré	O
      1 1	immigration	O
      1 1	immigrants	O
      1 1	immeubles	O
      1 1	immeuble	O
      1 1	immenses	O
      1 1	immense	O
      1 1	immédiat	O
      1 1	immédiates	O
      1 1	immédiate	O
      1 1	immédiatement	O
      1 1	immatriculation	O
      1 1	imiter	O
      1 1	Imane	person
      1 1	Imam	O
      1 1	imaginez	O
      1 1	imaginer	O
      1 1	imagine	O
      1 1	images	O
      1 1	image	O
      1 1	ils	O
      1 1	illustre	O
      1 1	illustration	O
      1 1	illustrateur	O
      1 1	illusion	O
      1 1	illégal	O
      1 1	illégale	O
      1 1	illégalement	O
      1 1	îles	O
      1 1	Île	geoloc
      1 1	ijtihade	O
      1 1	Ijlale	person
      1 1	ignorer	O
      1 1	ignore	O
      1 1	ignorent	O
      1 1	Iglésis	person
      1 1	Idependenza	org
      1 1	idéologique	O
      1 1	idéologie	O
      1 1	identité	O
      1 1	identifier	O
      1 1	identification	O
      1 1	idées	O
      1 1	idée	O
      1 1	ici	O
      1 1	ici_et_là	O
      1 1	Ibrahim	person
      1 1	IBM	org
      1 1	Ibiscus	org
      1 1	Hyman	person
      1 1	hydrauliques	O
      1 1	Huwart	person
      1 1	Hutus	O
      1 1	hutus	O
      1 1	Hutu	O
      1 1	hutu	O
      1 1	humour	O
      1 1	hum	O
      1 1	humilier	O
      1 1	humeur	O
      1 1	Humanité	org
      1 1	humanité	O
      1 1	humanitaires	O
      1 1	humanitaire	O
      1 1	humains	O
      1 1	humain	O
      1 1	humaine	O
      1 1	huitièmes	O
      1 1	huissier	O
      1 1	hôtel	O
      1 1	hostilités	O
      1 1	hostilité	O
      1 1	hostiles	O
      1 1	Horus	O
      1 1	hors	O
      1 1	hors_de	O
      1 1	horribles	O
      1 1	horreurs	O
      1 1	horizon	O
      1 1	horaire	O
      1 1	honoraires	O
      1 1	honorable	O
      1 1	honneur	O
      1 1	Hongkong	geoloc
      1 1	Hondelatte	person
      1 1	homosexuels	O
      1 1	homosexuel	O
      1 1	homologue	O
      1 1	hommage	O
      1 1	homicide	O
      1 1	hollywoodien	O
      1 1	Hollande	person
      1 1	Hodler	person
      1 1	hivers	O
      1 1	hiver	O
      1 1	historiques	O
      1 1	historique	O
      1 1	historiquement	O
      1 1	histoires	O
      1 1	Histadrout	org
      1 1	hippopotames	product
      1 1	Hillary	person
      1 1	hier	O
      1 1	Hezbollah	org
      1 1	heurts	O
      1 1	heureuse	O
      1 1	heureusement	O
      1 1	heure	O
      1 1	hétérosexuels	O
      1 1	hétérosexualité	O
      1 1	hésitent	O
      1 1	hésitant	O
      1 1	Hervé	person
      1 1	hernie	O
      1 1	héritier	O
      1 1	héritage	O
      1 1	Hepburn	person
      1 1	hé	O
      1 1	Henry	person
      1 1	Henri	person
      1 1	Hénin	person
      1 1	hémicycle	O
      1 1	hélicoptères	O
      1 1	hélicoptère	O
      1 1	Hélice	person
      1 1	Hélène	person
      1 1	Helena	person
      1 1	hélas	O
      1 1	hein	O
      1 1	hectares	O
      1 1	hébreu	O
      1 1	Hébertot	geoloc
      1 1	hébergés	O
      1 1	hébergement	O
      1 1	hebdomadaire	O
      1 1	HCR	O
      1 1	Havre	geoloc
      1 1	Havane	geoloc
      1 1	haut	O
      1 1	hauteurs	O
      1 1	hauteur	O
      1 1	hautes	O
      1 1	haute	O
      1 1	hausse	O
      1 1	Hassania	org
      1 1	Hasna	person
      1 1	hasard	O
      1 1	Harry	person
      1 1	Harouach	person
      1 1	Harold	person
      1 1	Harney	person
      1 1	Hardenne	person
      1 1	harcelé	O
      1 1	Harare	geoloc
      1 1	Hanoï	geoloc
      1 1	Hani	person
      1 1	handicap	O
      1 1	handicapé	O
      1 1	handicape	O
      1 1	handicapées	O
      1 1	handball	O
      1 1	Hamoudi	person
      1 1	Hamme	person
      1 1	Hamas	org
      1 1	hall	O
      1 1	Halliburton	org
      1 1	haine	O
      1 1	habous	O
      1 1	habitué	O
      1 1	habitude	O
      1 1	habité	O
      1 1	habite	O
      1 1	habitat	O
      1 1	habitations	O
      1 1	habitation	O
      1 1	habitants	O
      1 1	habitant	O
      1 1	habitaient	O
      1 1	habiller	O
      1 1	habile	O
      1 1	gymnases	O
      1 1	Guy	person
      1 1	Gustavo	person
      1 1	Gursel	person
      1 1	Guinée	geoloc
      1 1	Guillermo	person
      1 1	guillemets	O
      1 1	Guillaume	person
      1 1	Guigma	person
      1 1	guider	O
      1 1	guide	O
      1 1	guerrières	O
      1 1	guerrière	O
      1 1	guerres	O
      1 1	Guern	person
      1 1	guérison	O
      1 1	guérilla	O
      1 1	guérie	O
      1 1	guère	O
      1 1	Grzegorz	person
      1 1	groupes	O
      1 1	groupement	O
      1 1	grosse	O
      1 1	gros	O
      1 1	grogne	O
      1 1	gris	O
      1 1	grise	O
      1 1	grisaille	O
      1 1	grippe	O
      1 1	grimper	O
      1 1	grévistes	O
      1 1	grèves	O
      1 1	grève	O
      1 1	gré	O
      1 1	Grenoble	geoloc
      1 1	grenade	O
      1 1	Greenville	geoloc
      1 1	grecque	O
      1 1	grec	O
      1 1	Grèce	geoloc
      1 1	gravissime	O
      1 1	graves	O
      1 1	grave	O
      1 1	gravement	O
      1 1	gratuité	O
      1 1	grands	O
      1 1	grand_oncle	O
      1 1	grandi	O
      1 1	grandeur	O
      1 1	grandes	O
      1 1	grande	O
      1 1	grâce	O
      1 1	grâce_aux	O
      1 1	grâce_à	O
      1 1	grâce_à_l'	O
      1 1	grâce_à_la	O
      1 1	GPS	O
      1 1	gouverneurs	O
      1 1	gouverneur	O
      1 1	gouvernements	O
      1 1	gouvernementaux	O
      1 1	gouvernementales	O
      1 1	gouvernementale	O
      1 1	gourelle	O
      1 1	Gorris	person
      1 1	Gorgibus	person
      1 1	Gomez	person
      1 1	Golliard	person
      1 1	golf	O
      1 1	golfeurs	O
      1 1	Golan	geoloc
      1 1	Goetzinger	person
      1 1	godillots	O
      1 1	GNF	O
      1 1	gloussements	O
      1 1	gloire	O
      1 1	globaux	O
      1 1	global	O
      1 1	globalement	O
      1 1	GLC	org
      1 1	Glavany	person
      1 1	givrants	O
      1 1	Giuliani	person
      1 1	Giscard_d'Estaing	person
      1 1	giron	O
      1 1	Ginette	person
      1 1	Gilles	person
      1 1	Gilchrist	person
      1 1	Gilbert	person
      1 1	gigognes	O
      1 1	gigantesque	O
      1 1	Giat	org
      1 1	ghetto	O
      1 1	ghanéen	O
      1 1	ghanéenne	O
      1 1	Ghana	geoloc
      1 1	Getty	person
      1 1	gestuel	O
      1 1	gestion	O
      1 1	gestes	O
      1 1	geste	O
      1 1	Gerland	geoloc
      1 1	gérer	O
      1 1	gère	O
      1 1	gérées	O
      1 1	Gérald	person
      1 1	George	person
      1 1	géopolitique	O
      1 1	géométrie	O
      1 1	géographique	O
      1 1	gens	O
      1 1	genres	O
      1 1	genre	O
      1 1	génocide	O
      1 1	génie	O
      1 1	génial	O
      1 1	Geneviève	person
      1 1	Genève	geoloc
      1 1	générosité	O
      1 1	gêner	O
      1 1	généraux	O
      1 1	générations	O
      1 1	génération	O
      1 1	générales	O
      1 1	généralement	O
      1 1	gêné	O
      1 1	gêne	O
      1 1	gendre	O
      1 1	gendarmes	O
      1 1	gendarmerie	O
      1 1	Gemini	org
      1 1	gel	O
      1 1	geler	O
      1 1	gèle	O
      1 1	gelées	O
      1 1	géant	O
      1 1	gazon	O
      1 1	gazole	O
      1 1	Gaza	geoloc
      1 1	Gayssot	person
      1 1	Gaymard	person
      1 1	gaufres	O
      1 1	Gaudio	person
      1 1	gauche	O
      1 1	Gaston	person
      1 1	gaspillage	O
      1 1	Garonne	geoloc
      1 1	garer	O
      1 1	gardiste	O
      1 1	gardiens	O
      1 1	gardien	O
      1 1	gardes	O
      1 1	garder	O
      1 1	gardé	O
      1 1	garde	O
      1 1	gardait	O
      1 1	garçon	O
      1 1	Garcin	person
      1 1	garantit	O
      1 1	garantir	O
      1 1	garanties	O
      1 1	garantie	O
      1 1	Gallou	person
      1 1	gain	O
      1 1	Gaillard	person
      1 1	Gaïa	person
      1 1	gagner	O
      1 1	gagnera	O
      1 1	gagné	O
      1 1	gagne	O
      1 1	gagnent	O
      1 1	gage	O
      1 1	gaffe	O
      1 1	Gabriel	person
      1 1	Gabon	geoloc
      1 1	G10	org
      1 1	futurs	O
      1 1	futur	O
      1 1	futures	O
      1 1	future	O
      1 1	fût	O
      1 1	fut	O
      1 1	FUS	org
      1 1	fusillade	O
      1 1	Fusier	person
      1 1	furtifs	O
      1 1	Furic	person
      1 1	fumée	O
      1 1	full	O
      1 1	fuit	O
      1 1	fuite	O
      1 1	fuir	O
      1 1	fui	O
      1 1	fruits	O
      1 1	Fruitier	person
      1 1	fronts	O
      1 1	front	O
      1 1	frontistes	O
      1 1	frontiste	O
      1 1	frontière	O
      1 1	fronde	O
      1 1	frôleront	O
      1 1	froid	O
      1 1	froide	O
      1 1	fr	geoloc
      1 1	frères	O
      1 1	frère	O
      1 1	fréquentes	O
      1 1	fréquence	O
      1 1	Freland	person
